ticked player with td=0.0156416, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
ticked player with td=0.0, pos is now [0.078208, 0.0]
