
Rendering frame with player@['0.668008', '0.039632']
Rendering frame with player@['2.389040', '0.552437']
Rendering frame with player@['3.795114', '1.410991']
Rendering frame with player@['4.889036', '2.352422']
Rendering frame with player@['5.748346', '3.259790']
Rendering frame with player@['6.451463', '4.112085']
Rendering frame with player@['6.998398', '4.843432']
Rendering frame with player@['7.232798', '5.175180']
Rendering frame with player@['7.467084', '5.517747']
Rendering frame with player@['7.545095', '5.634251']
Rendering frame with player@['7.779724', '5.991982']
Rendering frame with player@['8.013974', '6.360119']
Rendering frame with player@['8.326533', '6.868414']
Rendering frame with player@['8.560837', '7.262262']
Rendering frame with player@['8.951513', '7.943374']
Rendering frame with player@['9.107715', '8.224243']
Rendering frame with player@['9.498409', '8.948121']
Rendering frame with player@['9.654646', '9.246142']
Rendering frame with player@['9.810732', '9.548750']
Rendering frame with player@['9.966968', '9.856529']
Rendering frame with player@['10.279475', '10.486804']
Rendering frame with player@['10.357608', '10.647437']
Rendering frame with player@['10.670113', '11.302121']
Rendering frame with player@['10.826379', '11.636818']
Rendering frame with player@['10.982653', '11.976414']
Rendering frame with player@['11.295208', '12.670279']
Rendering frame with player@['11.529603', '13.203449']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.154502', '14.678586']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.310808', '15.059772']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
Rendering frame with player@['12.467203', '15.446065']
